Category,Metric,Units,Q4FY25,Q1FY26,Q2FY26,Q3FY26,Q4FY26,Source Reference,Verification Status,Priority,Confidence,Notes
Consolidated,Food delivery NOV,INR crore,8210,8967,9423,9846,9757,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,B2C NOV table
Consolidated,Quick commerce NOV,INR crore,7362,9203,11679,13300,14386,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,B2C NOV table
Consolidated,Going-out NOV,INR crore,1868,2013,2063,2587,2736,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,B2C NOV table
Consolidated,B2C NOV,INR crore,17440,20183,23164,25732,26880,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Total per filing
Consolidated,B2C NOV YoY growth,%,0.534,0.55,0.568,0.548,0.541,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Optional,Official quarterly filing,Reported YoY growth
Consolidated,Food delivery adjusted revenue,INR crore,2409,2657,2863,3053,3125,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Segment adjusted revenue
Consolidated,Quick commerce adjusted revenue,INR crore,1709,2400,9891,12256,13232,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Segment adjusted revenue
Consolidated,Going-out adjusted revenue,INR crore,229,207,189,300,277,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Segment adjusted revenue
Consolidated,B2B supplies (Hyperpure) adjusted revenue,INR crore,1840,2295,1023,1070,978,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Segment adjusted revenue
Consolidated,Others adjusted revenue,INR crore,1,4,2,13,68,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Segment adjusted revenue
Consolidated,Adjusted revenue,INR crore,6188,7563,13968,16692,17680,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Reported consolidated total
Consolidated,Adjusted revenue YoY growth,%,0.598,0.673,1.724,1.905,1.857,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Optional,Official quarterly filing,Reported YoY growth
Consolidated,Food delivery adjusted EBITDA,INR crore,428,451,503,531,532,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Segment adjusted EBITDA
Consolidated,Quick commerce adjusted EBITDA,INR crore,-178,-162,-156,4,37,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Segment adjusted EBITDA
Consolidated,Going-out adjusted EBITDA,INR crore,-47,-54,-63,-121,-81,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Segment adjusted EBITDA
Consolidated,B2B supplies (Hyperpure) adjusted EBITDA,INR crore,-22,-18,-5,1,5,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Segment adjusted EBITDA
Consolidated,Others adjusted EBITDA,INR crore,-16,-45,-55,-51,-64,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Segment adjusted EBITDA
Consolidated,Adjusted EBITDA,INR crore,165,172,224,364,429,S8 | Eternal_Q4FY26.pdf | PDF p12 / filing p11 | Annexure A - Quarterly disclosures,Verified visually,Required,Official quarterly filing,Reported consolidated total
Food delivery,NOV,INR crore,8210,8967,9423,9846,9757,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Food delivery,NOV YoY growth,%,0.142,0.131,0.138,0.166,0.188,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Optional,Official quarterly filing,Segment table
Food delivery,Adjusted revenue,INR crore,2409,2657,2863,3053,3125,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Food delivery,Adjusted revenue YoY growth,%,0.175,0.178,0.224,0.265,0.297,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Optional,Official quarterly filing,Segment table
Food delivery,Contribution,INR crore,842,885,976,1023,998,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Food delivery,Contribution margin,% of NOV,0.103,0.099,0.104,0.104,0.102,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Food delivery,Adjusted EBITDA,INR crore,428,451,503,531,532,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Food delivery,Adjusted EBITDA margin,% of NOV,0.052,0.05,0.053,0.054,0.055,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Food delivery,Average monthly transacting customers,million,20.9,22.9,24.1,24.9,25.4,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Operating metrics
Food delivery,Average monthly active restaurant partners,'000,314,313,327,336,344,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Optional,Official quarterly filing,Operating metrics
Food delivery,Average monthly active delivery partners,'000,444,509,555,567,576,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Optional,Official quarterly filing,Operating metrics
Quick commerce,NOV,INR crore,7362,9203,11679,13300,14386,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Quick commerce,NOV YoY growth,%,1.207,1.266,1.37,1.209,0.954,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Optional,Official quarterly filing,Segment table
Quick commerce,Revenue,INR crore,1709,2400,9891,12256,13232,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Quick commerce,Revenue YoY growth,%,1.222,1.548,7.556,7.761,6.743,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Optional,Official quarterly filing,Segment table
Quick commerce,Gross profit,INR crore,1709,2168,3132,3539,3867,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Quick commerce,Gross profit margin,% of NOV,0.232,0.236,0.268,0.266,0.269,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Quick commerce,Contribution,INR crore,289,360,542,736,782,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
Quick commerce,Contribution margin,% of NOV,0.039,0.039,0.046,0.055,0.054,S8 | Eternal_Q4FY26.pdf | PDF p13 / filing p12 | Food delivery and quick commerce metrics,Verified visually,Required,Official quarterly filing,Segment table
